(cord#neutral)(battery life#positive),I charge it at night and skip taking the cord with me because of the good battery life.
(applications#neutral)(Dreamweaver#neutral)(Final Cut Pro 7#neutral)(Photoshop#neutral)(Safari#neutral)(Firefox#neutral)(MSN Messenger#neutral),"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
,I have owned many computers and laptops.
,I recently purchased the mini and absolutely love it!
,Does a great job with video shot on a Canon 5D MKII.
(warrenty#negative),"  I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad."
(tech support#neutral),Ive had to call tech support many times.
(Apple applications#positive)(iPhoto#positive),"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!"
,"Yes, I have it on the highest available setting."
(gigs#negative),Not to mention it has shit gigs.
,Hieroglyphics are quite common.
,This worked just fine.
(memory#neutral)(17-inch screen#neutral)(DVD#positive)(CD burners#positive),"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners."
(web browsing#positive)(uploading photos#positive)(watching movies#positive)(creating presentations#positive),"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations."
,I was so happy with my new Mac.
(Quality Display#positive),"Quality Display  I love HP,, it's the only computer/printer we will buy."
(weight#conflict)(12 cell battery#positive),"Despite the inconvenient weight, I opted for the 12 cell battery."
,My MacBook is faster than any comparable PC.
(case#neutral),The case is carved out of a single block of aluminum.
,I'm very happy with this machine!
,I do not recommend this company or their products!!!!
,I like this machine because its very lightweight...
(power adapter plug#negative),     First it burned or fused the power adapter plug.
(features#positive)(speakers#negative),"the features are great, the only thing it needs is better speakers."
(screen#negative),"It was still working, but there was nothing on the screen."
(TAB#negative),I bought this laptop and found its TAB is not functioning.
(extended warrenty#negative),  Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.
,HP said I had done the damage.
(TFT panel#negative),"-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3)."
(Navigation#positive)(Windows operating systems#negative),"Navigation through the computer is far superior compared to Windows operating systems, as well."
,I would recommend this product.
,"If I had to buy another computer, I would most definetly buy an acer one computer."
(screen#negative)(screen size#negative)(bulk#negative),"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk."
(music software#negative)(software#positive)(picture#negative)(video#negative),"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers."
,I previously owned an HP desktop and a Dell laptop.
,Everything else just install and go.
,  This thing is a lemon.
,My laptop is almost 2yrs old and I have never had any problems with it.
,All the customers that come in hate Dell.
,"We now own two of these, identical."
,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.
,"I enjoy very much my new Toshiba, purchased specifially for attending online schooling."
,"Once you go Mac, you can't go back!"
,"I brought this laptop last friday, and originally it worked fantastic."
(combined touch pad and clicker#negative),The much lauded combined touch pad and clicker is a nightmare.
(Unibody construction#positive),"The Unibody construction is solid, sleek and beautiful."
,"They're easy, fun, powerful and will last a long time."
,I WANT MY L505-s5988 BACK!
,"I let my friend borrow it, and she knows nothing about computers, and she used it with ease."
(value#positive),This MacBook is an outstanding product with great value.
,"If that is the case for you, I would suggest a pull-behind solution when looking at cases."
(Windows#negative)(screen hinges#negative),I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.
